Company (Manufacturer),Company (Manufacturer)_idx
Santander (Compania Nacional),470
Santome,471
Scharffen Berger,472
Seaforth,473
Seahorse,474
Shane Chocolate Works,475
Shark Mountain,476
Shark's,477
Shattell,478
Sibu,479
Sibu Sura,480
Silvio Bessone,481
Sirene,482
Sjolinds,483
"Smooth Chocolator, The",484
Snake & Butterfly,485
Soeka,486
Soklet,487
Sol Cacao,488
Solkiki,489
Solomons Gold,490
Solstice,491
Soma,492
Somerville,493
Soul,494
Spagnvola,495
Spencer,496
Spinnaker,497
Sprungli (Felchlin),498
SRSLY,499
Starchild,500
Stella (aka Bernrain),501
Stone Grindz,502
StRita Supreme,503
Sublime Origins,504
Summerbird,505
Suruca Chocolate,506
Svenska Kakaobolaget,507
sweet beans,508
Sweet Escalier,509
Sweetness,510
Szanto Tibor,511
Tabal,512
Tablette (aka Vanillabeans),513
Tala,514
Tan Ban Skrati,515
Taste Artisan,516
Taste Artisan aka Coleman and Davis,517
Taucherli,518
Taylor Made,519
Taza,520
TCHO,521
Tejas,522
Terroir,523
The Barn,524
Theo,525
Theobroma,526
Thistle & Rose aka Aggie USU,527
Tibito,528
Timo A. Meyer,529
Tiny House,530
To'ak,531
To'ak (Ecuatoriana),532
Tobago Estate (Pralus),533
Tocoti,534
Tosier,535
Tree to Bar,536
Treehouse,537
Treehouse aka Indaphoria,538
Triangle Roasters,539
Tribar,540
Tribe,541
Tsara (Cinagra),542
twenty-four blackbirds,543
Two Ravens,544
Un Dimanche A Paris,545
Uncouth,546
Undone,547
Upchurch,548
Urzi,549
Utopick,550
Vaka,551
Valrhona,552
Vanleer (Barry Callebaut),553
Vao Vao (Chocolaterie Robert),554
Vicuna,555
Videri,556
Vietcacao (A. Morin),557
Vintage Plantations,558
Vintage Plantations (Tulicorp),559
Violet Sky,560
Vivra,561
Wellington Chocolate Factory,562
White Label aka Mutari,563
Whittakers,564
Wilkie's Organic,565
Willie's Cacao,566
Wm,567
Woodblock,568
Xocolat,569
Xocolatisimo,570
Xocolatl,571
Xocolla,572
Zac Squared,573
Zacharias,574
Zak's,575
Zart Pralinen,576
Zokoko,577
Zoto (Chocolatoa),578
Zotter,579
